Size (bp),A2,A3,A4,A5
97.06,8.62,1.62,1.80,19.05
97.48,8.34,2.10,3.17,19.20
97.90,8.07,2.58,6.68,19.16
98.32,7.25,3.22,7.75,19.11
98.74,6.82,3.86,8.82,19.50
99.16,6.39,4.45,9.09,19.89
99.58,5.98,5.04,9.37,20.28
100.00,5.57,5.35,9.31,21.48
101.00,5.25,5.67,9.25,22.67
101.56,4.94,6.02,8.96,24.21
102.12,4.24,6.06,8.66,25.74
102.69,3.89,6.10,8.11,29.08
103.25,3.54,5.90,7.55,32.42
103.81,3.47,5.71,6.36,38.12
104.37,3.41,5.69,5.98,43.82
104.94,3.68,5.67,5.59,49.52
105.50,3.95,6.22,5.29,63.80
106.06,4.42,6.77,4.98,78.07
106.62,4.90,7.68,4.49,90.81
107.19,6.08,7.18,3.99,103.55
107.75,6.56,6.68,3.45,104.71
108.31,7.04,5.77,2.91,105.86
108.87,7.16,4.86,2.71,107.02
109.44,7.27,4.53,2.50,97.85
110.00,6.92,4.19,2.83,88.69
110.56,6.56,4.19,2.96,78.10
111.12,5.21,4.18,3.09,67.52
111.69,4.74,3.72,2.80,62.36
112.25,4.27,3.53,2.51,57.20
112.81,4.41,3.35,1.90,56.49
113.37,4.55,3.31,1.29,55.78
113.94,4.96,3.27,0.85,55.08
114.50,5.37,2.94,0.41,54.27
115.06,5.55,2.60,0.28,53.46
115.62,5.72,2.01,0.53,51.86
116.19,6.02,1.42,0.78,50.26
116.75,6.46,1.03,1.38,49.14
117.31,6.90,1.68,1.97,48.02
117.87,7.20,2.33,2.71,48.09
118.44,7.49,3.51,3.45,48.16
119.00,7.17,4.70,3.91,48.23
119.56,6.84,5.64,4.37,48.52
120.12,5.73,6.59,4.48,48.81
120.69,5.37,6.77,4.58,47.76
121.25,5.01,6.96,4.44,46.71
121.81,4.60,6.22,4.38,44.92
122.37,4.19,5.89,4.32,43.13
122.94,3.54,5.56,4.22,41.34
123.50,2.89,5.55,4.12,38.00
124.06,1.71,5.54,3.81,34.66
124.62,1.45,5.65,3.50,32.01
125.19,1.19,5.77,3.12,29.37
125.75,1.26,5.89,2.74,28.11
126.31,1.32,6.01,2.58,26.86
126.87,1.65,6.51,2.42,26.68
127.44,1.97,6.68,2.66,26.50
128.00,2.36,6.85,2.98,26.32
128.56,2.75,6.50,3.29,26.50
129.12,3.20,6.14,3.61,26.68
129.69,3.34,5.37,3.93,27.20
130.25,3.49,4.59,4.06,27.72
130.81,3.80,4.01,4.19,28.03
131.37,4.11,3.43,4.22,28.34
131.94,4.57,3.40,4.25,28.65
132.50,5.03,3.75,4.44,28.48
133.06,5.80,4.11,4.62,28.31
133.62,5.82,4.37,5.23,27.45
134.19,5.83,4.62,5.37,26.58
134.75,5.14,4.52,5.51,25.28
135.31,4.45,4.41,5.48,23.98
135.87,3.27,4.22,5.44,22.92
136.44,2.10,4.02,5.41,21.87
137.00,1.42,4.20,5.38,20.81
137.56,0.75,4.44,5.25,19.21
138.12,1.70,4.68,5.11,17.60
138.69,2.72,4.62,4.81,16.34
139.25,3.74,4.55,4.50,15.08
139.81,4.28,4.21,4.33,14.15
140.37,4.81,3.86,4.80,13.22
140.94,4.63,3.65,5.28,12.63
141.50,4.45,3.44,6.02,12.04
142.06,3.49,3.43,6.76,11.45
142.62,2.96,3.45,7.28,10.70
143.19,2.42,3.48,7.79,9.95
143.75,1.81,3.47,7.94,9.84
144.31,1.20,3.47,8.09,9.73
144.87,0.70,3.36,7.77,10.29
145.44,0.19,3.25,7.46,10.85
146.00,0.10,2.95,6.02,11.41
146.56,0.00,2.65,5.45,12.90
147.12,0.41,2.33,4.88,14.38
147.69,0.70,2.67,4.55,15.98
148.25,0.99,3.00,4.22,17.58
148.81,1.55,3.60,3.50,18.48
149.37,2.12,4.20,2.78,19.37
149.94,2.89,4.61,1.87,19.08
150.50,3.67,5.01,0.96,18.80
151.06,4.62,5.08,0.68,18.51
151.62,4.63,5.15,1.24,16.99
152.19,4.64,5.16,1.80,15.47
152.75,4.32,5.54,2.26,13.68
153.31,4.00,5.92,2.71,11.90
153.87,3.50,6.59,2.88,10.80
154.44,3.00,7.26,3.05,9.70
155.00,2.41,7.49,3.20,8.60
155.56,2.60,7.72,3.34,6.86
156.12,2.79,7.15,3.51,5.12
156.69,3.25,6.58,3.67,3.39
157.25,3.71,4.59,4.09,1.66
157.81,4.11,3.60,4.45,0.83
158.37,4.51,2.62,4.81,0.00
158.94,4.60,1.79,5.10,0.22
159.50,4.69,0.96,5.38,0.44
160.06,4.06,0.48,5.16,0.66
160.62,3.59,0.00,4.94,0.97
161.19,3.11,0.23,4.23,1.27
161.75,2.69,0.45,3.52,0.78
162.31,2.27,2.21,2.89,0.29
162.87,1.96,2.84,2.25,0.15
163.44,1.65,3.46,1.98,0.00
164.00,1.56,3.05,2.28,0.78
164.56,1.81,2.64,2.58,1.57
165.12,2.06,1.87,3.18,2.35
165.69,2.29,1.09,3.78,4.48
166.25,2.52,1.20,4.67,6.60
166.81,2.49,1.31,5.56,8.39
167.37,2.47,3.06,6.40,10.19
167.94,2.47,3.45,7.24,11.16
168.50,2.47,3.84,7.42,12.13
169.06,3.30,3.37,7.60,13.10
169.62,3.98,2.90,6.30,15.56
170.19,4.65,2.44,5.46,18.02
170.75,5.04,1.99,4.63,22.83
171.31,5.42,2.33,4.33,27.64
171.87,5.27,2.85,4.03,35.93
172.44,5.12,3.37,4.19,44.23
173.00,4.33,3.84,4.34,52.72
173.56,4.09,4.31,4.36,61.20
174.12,3.85,4.44,4.37,69.69
174.69,3.79,4.57,4.11,86.46
175.25,3.74,4.04,3.85,103.23
175.81,3.61,3.52,3.46,121.48
176.37,3.48,1.56,3.32,139.73
176.94,2.84,0.97,3.18,150.20
177.50,2.46,0.39,2.65,160.67
178.06,2.08,0.46,2.13,171.14
178.62,1.83,0.52,1.32,180.64
179.19,1.58,0.59,0.50,190.14
179.75,1.63,0.65,0.25,191.81
180.31,1.68,0.49,0.00,193.48
180.87,2.02,0.33,0.66,188.04
181.44,2.36,0.91,1.32,182.60
182.00,3.23,1.86,3.11,175.65
182.56,3.54,2.81,3.54,168.70
183.12,3.85,3.76,3.97,161.75
183.69,4.10,4.71,3.93,148.75
184.25,4.34,5.25,3.88,135.74
184.81,4.61,5.79,3.75,122.01
185.37,4.87,6.14,3.62,108.27
185.94,4.95,6.49,3.56,95.03
186.50,4.52,6.69,3.50,81.79
187.06,4.08,6.14,3.14,74.09
187.62,3.55,5.59,2.94,66.38
188.19,3.02,4.69,2.74,58.68
188.75,2.95,3.79,2.89,49.89
189.31,2.87,3.31,3.04,41.10
189.87,3.14,2.82,3.50,35.37
190.44,3.40,2.78,3.97,29.64
191.00,3.83,2.74,4.43,27.45
191.56,3.97,2.42,4.89,25.27
192.12,4.11,2.04,5.09,23.09
192.69,4.23,1.65,5.29,21.46
193.25,4.35,1.41,4.86,19.83
193.81,4.15,1.17,4.38,19.29
194.37,3.96,1.17,3.90,18.75
