Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
81.07,294.14,192.42,525.23,364.92,164.64
81.49,329.24,209.22,576.85,397.25,182.12
81.91,364.34,219.45,628.48,429.58,205.14
82.33,396.06,229.69,665.64,471.35,228.15
82.76,427.77,232.52,702.81,513.12,272.54
83.18,448.86,235.34,709.35,553.77,286.98
83.60,469.95,230.39,715.89,594.41,301.41
84.02,471.20,225.44,691.84,619.53,301.98
84.44,449.32,212.87,667.79,644.65,302.55
84.86,427.43,200.30,635.96,641.69,289.64
85.28,399.34,186.12,604.12,618.49,276.74
85.70,371.26,171.95,586.11,595.28,260.85
86.12,355.13,163.76,568.09,571.00,244.96
86.54,339.00,155.56,560.12,546.71,236.91
86.96,333.34,150.22,552.15,535.27,228.86
87.38,327.68,146.66,536.22,523.83,227.63
87.80,318.50,143.09,520.30,518.01,226.40
88.22,309.32,135.33,489.12,512.20,222.75
88.64,289.67,127.56,457.94,497.95,219.10
89.06,270.02,116.62,418.81,483.70,207.95
89.48,244.01,105.69,379.69,457.65,196.79
89.91,218.01,92.87,342.28,431.60,180.64
90.33,192.52,80.05,304.88,399.92,164.49
90.75,167.04,66.46,273.73,368.23,147.83
91.17,145.72,52.87,242.58,337.58,131.17
91.59,124.39,40.89,218.44,306.93,116.22
92.01,108.06,28.91,194.30,280.81,101.26
92.43,91.72,20.59,176.78,254.69,88.75
92.85,80.23,12.27,159.27,234.32,76.23
93.27,68.73,7.49,147.35,213.95,57.16
93.69,61.26,2.72,135.44,199.02,50.74
94.11,53.80,1.36,128.11,184.09,44.33
94.53,50.58,0.00,120.78,173.36,40.89
94.95,47.36,5.78,118.86,162.62,37.46
95.37,53.52,11.55,116.94,155.64,37.35
95.79,59.68,30.02,128.21,148.66,37.24
96.21,101.11,48.48,140.05,146.68,41.46
96.64,132.88,76.59,151.90,144.70,45.68
97.06,164.65,104.71,162.64,148.51,54.00
97.48,188.34,125.65,173.38,152.31,62.32
97.90,212.04,146.59,176.19,159.46,70.82
98.32,211.05,145.80,178.99,166.60,79.32
98.74,210.05,145.02,175.11,171.96,82.50
99.16,191.85,128.78,171.23,177.31,85.68
99.58,173.65,112.54,167.09,177.63,82.64
100.00,159.39,85.81,162.95,177.95,79.59
101.00,145.14,83.71,161.60,171.92,75.11
101.56,143.66,81.60,160.26,169.29,70.62
102.12,142.17,84.93,159.20,166.65,69.24
102.69,146.18,88.26,158.13,165.43,67.86
103.25,150.18,88.25,153.31,164.21,69.50
103.81,149.96,88.24,148.48,162.42,71.14
104.37,149.75,82.25,138.34,160.64,72.26
104.94,142.27,76.26,128.20,155.98,73.38
105.50,134.78,67.79,114.91,151.32,70.60
106.06,124.01,59.31,101.62,143.29,67.83
106.62,113.24,52.39,88.90,135.26,54.21
107.19,105.48,45.48,76.18,125.63,46.25
107.75,97.72,41.35,66.30,116.00,38.29
108.31,95.63,37.22,56.42,107.38,32.13
108.87,93.54,34.56,49.39,98.76,25.98
109.44,93.70,31.90,42.36,92.56,22.41
110.00,93.87,28.31,36.88,86.35,18.84
110.56,90.50,24.71,31.40,82.11,16.59
111.12,87.14,19.53,26.26,77.87,14.34
111.69,78.71,14.35,21.12,74.42,11.97
112.25,70.29,9.51,16.20,70.96,9.61
112.81,50.98,4.67,11.28,67.63,7.09
113.37,44.36,2.33,7.38,64.31,4.58
113.94,37.73,0.00,3.48,61.29,2.73
114.50,36.68,2.45,0.00,58.27,0.89
115.06,35.63,4.90,3.06,56.20,0.44
115.62,43.23,14.23,6.11,54.14,0.00
116.19,50.82,23.55,12.19,53.63,2.28
116.75,66.58,39.19,18.27,53.13,4.56
117.31,82.33,54.83,25.05,54.30,9.38
117.87,100.60,70.38,31.83,55.47,14.20
118.44,118.87,85.92,36.84,57.81,20.05
119.00,131.88,104.65,41.86,60.15,25.89
119.56,144.89,110.22,45.48,62.64,30.03
120.12,153.13,115.79,49.10,65.12,34.17
120.69,161.37,121.86,52.82,66.93,37.27
121.25,170.71,127.94,56.54,68.74,38.10
121.81,180.05,128.50,58.88,71.76,38.94
122.37,185.64,129.06,61.22,73.44,39.96
122.94,191.23,115.58,59.35,75.12,40.98
123.50,180.38,102.10,57.49,75.62,39.84
124.06,169.53,79.99,52.47,76.12,38.70
124.62,143.57,57.88,47.46,74.03,33.95
125.19,117.61,40.72,43.27,71.95,29.19
125.75,92.62,23.56,39.07,68.38,23.55
126.31,67.64,16.33,37.12,64.81,17.91
126.87,53.47,9.09,35.17,61.90,14.68
127.44,39.30,7.60,33.82,58.99,11.45
128.00,33.13,6.12,32.46,57.13,10.70
128.56,26.96,6.19,30.82,55.27,9.94
129.12,23.83,6.27,29.18,53.50,10.00
129.69,20.69,6.28,27.86,51.74,10.06
130.25,16.93,6.28,26.53,49.62,10.05
130.81,15.46,5.60,25.29,47.50,10.03
131.37,13.98,4.92,24.05,45.40,9.72
131.94,12.04,3.71,21.86,43.29,9.41
132.50,10.10,2.51,19.68,41.49,8.75
133.06,7.81,1.54,16.69,39.69,8.09
133.62,5.51,0.57,13.70,37.94,7.24
134.19,3.73,0.28,9.31,36.20,6.39
134.75,1.94,0.00,9.31,34.38,5.37
135.31,1.11,0.00,9.30,32.56,4.34
135.87,0.28,0.00,11.15,31.05,1.84
136.44,0.23,0.63,13.01,29.54,0.92
137.00,0.19,1.74,15.00,28.73,0.00
137.56,0.63,2.85,17.00,27.92,0.00
138.12,1.07,4.18,17.88,27.82,0.00
138.69,1.73,5.51,18.77,27.71,1.05
139.25,2.39,6.20,18.68,27.81,2.10
139.81,3.06,6.88,18.60,27.91,3.19
140.37,3.72,6.68,17.98,27.66,4.29
140.94,4.11,6.48,17.37,27.42,4.56
141.50,4.50,5.73,16.01,26.10,4.83
142.06,4.24,4.98,14.65,25.00,4.57
142.62,3.99,4.04,12.33,23.90,4.30
143.19,3.23,3.09,10.00,22.07,4.02
143.75,2.46,2.28,7.31,20.24,3.73
144.31,1.83,1.46,4.62,17.77,3.26
144.87,1.19,1.14,2.72,15.31,2.79
145.44,0.87,0.82,0.82,13.00,1.99
146.00,0.56,1.15,0.41,10.69,1.19
146.56,0.00,1.48,0.00,9.28,0.59
147.12,0.00,2.17,0.19,7.87,0.00
147.69,0.00,2.86,0.37,7.38,0.14
148.25,0.22,3.51,0.66,6.89,0.28
148.81,0.43,4.15,0.95,6.79,0.91
149.37,1.34,4.50,0.91,6.68,1.54
149.94,2.25,4.86,0.87,6.45,2.49
150.50,2.87,4.65,0.77,6.21,2.62
151.06,3.49,4.44,0.67,5.70,2.75
151.62,3.33,3.57,0.72,5.20,2.71
152.19,3.16,2.71,0.77,4.61,2.67
152.75,2.67,1.74,0.80,4.02,2.55
153.31,2.18,0.78,0.83,3.49,2.43
153.87,1.92,0.00,0.55,2.97,2.17
154.44,1.66,0.00,0.37,2.45,1.91
155.00,1.46,0.00,0.19,1.94,1.52
155.56,1.26,0.05,0.09,1.43,1.13
156.12,0.84,0.09,0.00,0.92,0.68
156.69,0.41,0.37,0.00,0.65,0.23
157.25,0.21,0.64,0.00,0.38,0.12
157.81,0.00,1.92,0.29,0.64,0.00
158.37,0.82,3.19,0.57,0.90,0.30
158.94,1.63,5.27,1.49,1.54,0.61
159.50,3.71,7.35,2.41,2.18,1.39
160.06,5.78,8.68,3.59,2.68,2.18
160.62,8.03,10.01,4.78,3.19,2.77
161.19,10.27,9.63,5.37,3.38,3.36
161.75,10.93,9.26,5.96,3.57,3.52
162.31,11.59,7.93,5.32,3.55,3.67
162.87,10.14,6.60,4.69,3.24,3.47
163.44,8.70,5.38,3.28,2.93,3.26
164.00,4.19,4.15,1.87,2.32,2.37
164.56,2.58,3.31,0.93,1.70,1.82
165.12,0.98,2.48,0.00,1.11,1.27
165.69,0.49,2.04,0.00,0.52,0.79
166.25,0.00,1.60,0.00,0.26,0.32
166.81,0.20,1.46,0.44,0.00,0.16
167.37,0.40,1.31,0.88,0.00,0.00
167.94,0.80,1.07,1.30,0.00,0.00
168.50,1.19,0.83,1.71,0.00,0.00
169.06,1.28,0.43,1.82,0.00,0.00
169.62,1.37,0.03,1.94,0.00,0.00
170.19,1.11,0.02,1.85,0.00,0.00
170.75,0.85,0.00,1.77,-0.19,0.00
171.31,0.52,0.31,1.69,-0.38,0.00
171.87,0.19,0.62,1.62,-0.67,0.00
172.44,0.10,2.02,1.59,-0.96,0.00
173.00,0.00,2.60,1.56,-1.06,0.00
173.56,0.02,3.19,1.53,-1.16,0.00
174.12,0.04,3.56,1.47,-1.16,0.00
174.69,0.11,3.93,1.41,-1.16,0.00
175.25,0.17,4.11,1.33,-1.24,0.00
175.81,0.16,4.28,1.26,-1.32,0.00
176.37,0.15,4.19,1.09,-1.45,0.00
176.94,0.07,4.09,0.92,-1.58,0.00
177.50,0.00,3.90,0.67,-1.51,0.00
178.06,0.00,3.71,0.42,-1.44,0.00
178.62,0.00,3.68,0.29,-1.06,0.00
179.19,0.43,3.66,0.15,-0.68,1.13
179.75,0.86,3.67,0.13,-0.34,2.03
180.31,1.95,3.68,0.10,0.00,2.93
180.87,2.18,3.62,0.05,0.00,3.37
181.44,2.40,3.55,0.00,0.00,3.81
182.00,2.62,4.09,0.08,-0.10,3.42
182.56,2.84,4.64,0.17,-0.21,3.02
183.12,4.18,7.40,1.15,-0.20,2.50
183.69,5.53,10.16,2.13,-0.10,1.98
184.25,9.66,17.29,4.45,0.00,2.38
184.81,13.79,24.41,6.78,0.12,2.78
185.37,22.99,37.44,10.48,0.24,4.59
185.94,32.18,50.47,14.19,1.05,6.41
186.50,47.83,67.59,18.59,1.86,9.71
187.06,63.48,84.72,22.98,3.41,13.01
187.62,82.10,98.98,26.31,4.95,17.42
188.19,100.73,113.23,29.63,6.57,21.83
188.75,113.50,116.95,30.19,8.19,25.94
189.31,126.27,120.67,30.75,8.97,30.06
189.87,126.66,105.71,28.59,9.75,31.95
190.44,127.05,92.89,26.43,9.23,33.83
191.00,117.18,80.08,23.09,8.71,32.77
191.56,107.30,67.50,19.75,7.55,31.70
