Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
1077.54,34.59,10.67,31.10,4.26,21.92
1082.64,35.03,10.49,31.70,3.91,24.79
1087.74,36.60,10.31,32.31,3.45,28.23
1092.85,38.17,10.54,33.17,3.47,31.67
1097.95,40.24,10.76,34.04,3.50,34.56
1103.05,42.31,11.29,34.31,3.48,37.45
1108.15,44.25,11.82,34.58,3.46,40.43
1113.26,46.19,12.86,34.56,3.23,40.37
1118.36,47.30,13.30,34.55,3.00,40.32
1123.46,48.41,13.75,35.08,3.09,39.33
1128.56,48.25,14.23,35.61,3.19,38.34
1133.67,48.10,14.71,37.05,3.83,37.11
1138.77,47.43,14.96,38.49,4.48,35.87
1143.87,46.76,15.22,41.07,5.08,34.23
1148.97,46.94,15.06,43.64,5.68,32.58
1154.08,47.12,14.90,47.61,5.77,30.23
1159.18,48.52,14.60,51.59,5.86,27.87
1164.28,49.92,14.29,61.11,5.82,25.42
1169.38,51.76,14.21,64.90,5.77,22.96
1174.49,53.60,14.12,68.70,5.97,21.15
1179.59,56.18,14.27,69.71,6.17,19.33
1184.69,56.17,14.42,70.72,6.40,18.18
1189.79,56.16,14.51,68.30,6.62,17.02
1194.90,54.55,14.60,65.89,6.60,16.39
1200.00,52.95,14.27,61.21,6.57,15.76
1201.00,50.12,13.95,56.53,6.43,15.57
1210.06,47.29,13.21,52.12,6.29,15.37
1219.12,44.13,12.48,47.70,6.22,15.15
1228.18,40.96,11.80,45.62,6.14,14.94
1237.24,38.48,11.12,43.53,6.08,14.48
1246.30,36.01,10.84,44.15,6.02,14.01
1255.36,35.02,10.55,44.76,5.77,13.24
1264.42,34.04,10.65,47.25,5.51,13.07
1273.48,34.96,10.75,49.74,5.22,12.90
1282.55,35.89,11.26,53.08,4.92,12.64
1291.61,38.38,11.76,56.42,5.05,12.38
1300.67,40.88,12.48,59.54,5.18,11.94
1309.73,44.35,13.20,62.66,5.79,11.51
1318.79,47.82,14.17,64.42,6.40,11.19
1327.85,51.34,14.17,66.17,7.57,10.87
1336.91,54.86,14.17,65.67,7.74,10.87
1345.97,57.33,13.72,65.18,7.92,10.88
1355.03,59.79,13.27,62.33,7.76,11.02
1364.09,60.19,12.53,59.48,7.61,11.17
1373.15,60.58,11.79,55.21,7.41,11.18
1382.21,58.36,10.90,50.93,7.21,11.18
1391.27,56.14,10.01,46.56,7.10,11.18
1400.33,51.79,8.97,42.19,6.99,11.18
1409.39,47.44,7.94,38.55,6.98,11.31
1418.45,42.34,6.91,34.91,6.97,11.45
1427.52,37.25,5.89,32.29,7.16,11.49
1436.58,28.05,5.16,29.67,7.35,11.53
1445.64,24.58,4.43,26.59,7.50,11.21
1454.70,21.10,3.99,25.81,7.66,10.90
1463.76,18.87,3.55,25.03,7.23,10.27
1472.82,16.64,3.45,24.44,6.81,9.64
1481.88,15.33,3.34,23.85,5.84,9.02
1490.94,14.01,3.67,23.17,4.87,8.40
1500.00,13.18,4.00,22.49,4.11,7.73
1501.00,12.35,4.40,21.81,3.35,7.62
1514.13,11.84,4.80,21.14,3.23,7.52
1527.26,11.32,4.79,20.62,3.11,7.62
1540.39,10.95,4.78,20.10,3.24,7.72
1553.53,10.58,4.65,19.70,3.38,8.01
1566.66,10.01,4.51,19.29,3.23,8.31
1579.79,9.43,4.70,18.77,3.09,8.49
1592.92,8.61,4.90,18.25,2.68,8.68
1606.05,7.78,5.14,17.54,2.28,8.48
1619.18,7.05,5.39,16.83,2.04,8.28
1632.32,6.31,5.22,16.16,1.81,7.82
1645.45,5.93,5.05,15.49,2.04,7.36
1658.58,5.55,4.08,15.01,2.27,6.95
1671.71,5.59,3.45,14.53,2.79,6.54
1684.84,5.64,2.82,14.16,3.32,6.29
1697.97,6.04,2.04,13.79,3.68,6.03
1711.11,6.44,1.26,13.51,4.05,5.66
1724.24,6.89,0.65,13.23,3.83,5.30
1737.37,7.33,0.04,13.03,3.36,4.68
1750.50,7.40,0.02,12.82,2.89,4.07
1763.63,7.48,0.00,13.01,2.52,3.63
1776.76,7.26,0.47,13.20,2.16,3.19
1789.89,7.88,0.94,15.64,2.23,3.32
1803.03,8.50,1.37,18.09,2.30,3.45
1816.16,11.35,1.79,26.49,2.93,4.56
1829.29,14.20,2.45,34.89,3.55,5.23
1842.42,21.58,3.11,53.67,4.94,5.90
1855.55,28.96,4.96,72.45,6.33,6.76
1868.68,43.23,6.80,136.13,8.58,7.63
1881.82,57.50,10.31,178.08,10.82,8.98
1894.95,78.56,13.82,220.04,13.71,10.34
1908.08,99.61,18.42,260.65,16.59,12.32
1921.21,122.75,23.02,301.25,19.66,14.29
1934.34,145.90,27.33,323.41,22.74,16.73
1947.47,162.57,31.65,345.56,25.20,19.18
1960.61,179.24,33.98,336.72,27.66,21.45
1973.74,181.39,36.31,327.88,28.27,23.72
1986.87,183.55,35.46,290.99,28.88,24.59
2000.00,169.68,34.61,254.11,26.81,25.46
2001.00,155.81,30.95,207.00,24.75,24.07
2015.91,132.59,27.29,159.90,20.64,22.68
2030.82,109.37,22.69,121.20,16.53,19.62
2045.73,86.44,18.09,82.51,12.27,16.56
2060.64,63.52,10.83,59.42,8.01,13.36
2075.55,47.12,8.85,36.32,5.23,10.15
2090.46,30.73,6.87,25.63,2.44,7.78
2105.37,21.74,6.06,14.94,1.33,5.41
2120.28,12.76,5.25,10.93,0.22,4.08
2135.19,8.86,4.84,6.93,0.11,2.75
2150.10,4.96,4.43,5.80,0.00,2.00
2165.01,3.73,4.11,4.67,0.36,2.23
2179.93,2.50,3.79,4.60,0.71,2.46
2194.84,2.71,3.76,4.54,1.70,2.80
2209.75,3.20,3.74,4.74,2.08,3.13
2224.66,3.69,4.12,4.94,2.45,3.26
2239.57,3.81,4.51,5.05,2.68,3.39
2254.48,3.94,5.08,5.16,2.91,3.30
2269.39,3.58,5.65,5.18,3.21,3.21
2284.30,3.23,6.10,5.19,3.51,3.03
2299.21,2.76,6.55,5.31,3.94,2.85
2314.12,2.29,6.68,5.43,4.36,2.71
2329.03,2.03,6.82,5.77,4.75,2.56
2343.94,1.78,6.61,5.49,5.14,2.48
2358.85,1.65,6.40,5.21,5.34,2.40
2373.76,1.53,6.02,4.40,5.55,2.30
2388.67,1.21,5.63,3.60,5.49,2.20
2403.58,0.90,5.20,3.06,5.44,2.15
2418.49,0.57,4.77,2.53,5.06,2.11
2433.40,0.25,4.20,2.89,4.69,2.44
2448.31,0.27,3.62,3.25,4.06,2.76
2463.22,0.29,2.82,3.96,3.44,3.38
2478.13,0.47,2.02,4.67,2.77,3.99
2493.04,0.65,1.28,4.83,2.10,4.30
2507.96,0.71,0.54,4.99,1.83,4.60
2522.87,0.77,0.00,4.61,1.56,4.29
2537.78,0.75,0.23,4.23,1.82,3.99
2552.69,0.73,0.46,3.89,2.09,2.82
2567.60,0.66,1.17,3.55,2.27,2.36
2582.51,0.59,1.87,3.44,2.45,1.90
2597.42,0.50,2.74,3.33,2.15,1.64
2612.33,0.41,3.61,3.14,1.85,1.38
2627.24,0.44,4.05,2.96,1.53,1.19
2642.15,0.45,4.48,2.46,1.21,1.00
2657.06,0.46,4.10,1.97,1.21,0.75
2671.97,0.34,3.72,1.34,1.21,0.49
2686.88,0.22,2.89,0.71,1.23,0.26
2701.79,0.11,2.07,0.36,1.25,0.02
2716.70,0.00,1.54,0.00,1.14,0.01
2731.61,0.00,1.01,0.04,1.03,0.00
2746.52,0.00,1.12,0.07,1.25,0.30
2761.43,0.15,1.22,0.38,1.64,0.60
2776.34,0.31,1.66,0.69,2.03,1.10
2791.25,0.53,2.10,1.02,2.16,1.60
2806.16,0.75,2.43,1.34,2.29,1.98
2821.07,0.90,2.77,1.72,1.88,2.36
2835.99,1.05,2.79,2.10,1.47,2.35
2850.90,1.21,2.82,3.33,0.89,2.35
2865.81,1.37,2.63,3.89,0.32,2.10
2880.72,1.66,2.43,4.45,0.16,1.85
2895.63,1.94,2.34,4.36,0.00,1.72
2910.54,2.08,2.25,4.27,0.44,1.59
2925.45,2.22,2.58,3.57,0.89,1.70
2940.36,1.98,2.92,2.87,1.42,1.77
2955.27,1.74,3.67,2.29,1.95,1.83
2970.18,1.46,4.42,1.71,1.93,1.88
2985.09,1.18,5.19,1.65,1.92,1.92
3000.00,1.24,5.96,1.59,1.55,1.92
3001.00,1.31,6.42,1.81,1.18,1.92
3028.02,1.53,5.95,2.02,1.28,1.74
3055.04,1.74,5.47,2.21,1.38,1.57
3082.05,1.72,4.76,2.41,2.13,1.37
3109.07,1.71,4.06,2.46,2.88,1.18
3136.09,1.59,3.69,2.51,3.51,1.47
3163.11,1.79,3.33,2.42,4.14,1.75
3190.13,1.99,3.33,2.33,4.09,2.59
3217.14,2.06,3.33,2.29,4.05,3.42
3244.16,2.13,3.33,2.25,3.56,4.17
3271.18,1.69,3.32,2.35,3.08,4.91
3298.20,1.25,3.22,2.44,2.66,4.89
3325.22,0.82,3.11,2.57,2.25,4.86
3352.23,0.40,3.12,2.69,2.28,4.16
3379.25,0.59,3.12,2.86,2.31,3.45
3406.27,0.78,3.20,3.02,2.80,2.85
3433.29,1.33,3.28,3.38,3.29,2.24
3460.31,1.87,3.24,3.74,3.82,2.17
3487.32,2.16,3.19,4.19,4.36,2.09
3514.34,2.44,3.12,4.64,5.00,2.29
3541.36,2.27,3.04,4.78,5.14,2.48
3568.38,2.09,3.06,4.93,5.28,3.10
3595.40,1.65,3.08,4.39,5.27,3.63
3622.41,1.21,3.00,3.86,5.26,4.17
3649.43,0.80,2.92,1.79,5.22,4.66
3676.45,0.38,2.66,1.06,5.19,5.15
3703.47,0.19,2.41,0.33,5.28,5.18
3730.49,0.00,2.26,0.46,5.36,5.21
3757.50,0.02,2.12,0.59,5.36,4.89
3784.52,0.04,2.26,1.12,5.36,4.58
3811.54,0.21,2.40,1.66,4.98,4.28
3838.56,0.38,2.88,1.84,4.60,3.98
3865.58,0.53,2.94,2.03,3.87,3.63
3892.59,0.67,3.01,1.91,3.13,3.28
3919.61,0.72,3.00,1.79,2.25,2.65
3946.63,0.77,2.98,1.93,1.36,2.01
3973.65,0.82,3.04,2.06,0.68,1.32
4000.67,0.94,3.10,2.47,0.00,0.63
4027.68,1.06,2.92,2.87,0.00,0.32
4054.70,1.31,2.75,2.97,0.00,0.00
4081.72,1.56,2.09,3.07,0.85,0.05
4108.74,1.79,1.43,2.69,1.70,0.11
4135.76,2.02,0.73,2.31,2.87,0.39
4162.77,2.05,0.04,1.88,4.05,0.67
4189.79,2.08,0.02,1.46,4.75,1.14
4216.81,1.96,0.00,1.28,5.45,1.61
4243.83,1.84,0.64,1.11,5.47,2.47
4270.85,1.61,1.29,1.14,5.48,2.61
4297.86,1.39,1.87,1.18,5.16,2.76
4324.88,1.02,2.45,1.33,4.84,2.90
4351.90,0.64,2.52,1.49,4.51,3.03
4378.92,0.32,2.58,1.65,4.19,3.51
4405.94,0.01,2.55,1.81,4.04,4.00
4432.96,0.13,2.51,1.92,3.89,4.58
4459.97,0.26,2.91,2.04,4.25,5.17
4486.99,0.73,3.30,2.14,4.62,5.41
4514.01,1.20,3.91,2.25,5.00,5.65
4541.03,1.50,4.51,2.30,5.24,5.66
4568.04,1.80,4.64,2.35,5.48,5.67
4595.06,1.88,4.77,2.20,5.43,5.74
4622.08,1.96,4.22,2.04,5.37,5.81
4649.10,2.26,3.68,1.88,5.04,5.81
4676.12,2.56,2.22,1.67,4.72,5.81
4703.14,3.10,1.78,1.46,4.29,5.53
4730.15,3.64,1.34,1.26,3.86,5.26
4757.17,4.08,1.28,1.06,3.56,4.83
4784.19,3.72,1.22,1.01,3.26,4.40
4811.21,3.37,1.42,0.96,3.17,3.97
4838.23,2.89,1.62,1.04,3.08,3.54
4865.24,2.42,1.85,1.12,3.13,3.22
4892.26,2.22,2.09,1.21,3.18,2.91
4919.28,2.01,2.20,1.29,3.43,2.86
4946.30,1.87,2.30,1.31,3.67,3.11
4973.32,1.72,2.36,1.33,4.18,3.35
5000.33,1.43,2.42,1.37,4.70,3.56
5027.35,1.13,2.57,1.42,5.35,3.77
5054.37,1.01,2.72,1.55,6.00,3.71
5081.39,0.89,2.86,1.69,6.36,3.64
5108.41,1.18,2.99,1.74,6.73,3.40
5135.42,1.48,3.05,1.78,6.55,3.16
5162.44,1.76,3.11,1.65,6.37,3.12
5189.46,2.05,3.27,1.52,5.89,3.08
5216.48,1.97,3.43,1.60,5.42,3.46
5243.50,1.89,3.67,1.67,5.12,3.85
5270.51,1.69,3.91,2.12,4.82,4.27
5297.53,1.49,3.95,2.57,4.92,4.70
5324.55,1.49,3.99,2.87,5.01,4.63
5351.57,1.49,3.81,3.18,5.33,4.56
5378.59,1.78,3.62,2.81,5.65,4.05
5405.60,2.07,3.44,2.43,5.77,3.53
5432.62,2.46,3.25,1.64,5.89,3.04
5459.64,2.85,3.16,0.85,5.07,2.55
5486.66,2.95,3.06,0.43,4.42,2.27
5513.68,3.05,2.83,0.00,3.78,2.00
5540.69,2.98,3.20,1.76,4.00,1.94
5567.71,2.91,3.57,6.38,4.23,1.87
5594.73,5.76,7.09,11.00,8.17,2.97
5621.75,12.92,10.61,25.95,12.12,4.06
5648.77,20.09,23.75,40.90,26.52,16.44
5675.78,40.79,36.88,77.54,40.92,36.54
5702.80,61.48,70.04,114.19,77.42,56.64
5729.82,105.60,103.20,183.06,113.92,103.43
5756.84,149.72,166.57,251.93,184.58,150.21
5783.86,222.75,229.94,351.99,255.24,233.68
5810.87,295.78,324.47,452.06,361.37,317.15
5837.89,389.91,419.00,562.55,467.49,432.87
5864.91,484.05,527.96,673.03,588.49,548.59
5891.93,574.31,636.93,755.91,709.49,668.77
5918.95,664.58,726.44,838.79,803.51,788.95
5945.96,716.42,815.95,856.16,897.52,867.50
5972.98,768.27,848.88,873.53,921.05,946.04
6000.00,756.98,881.82,813.90,944.57,943.44
6026.79,745.69,840.76,754.26,883.00,940.84
6053.62,675.54,799.71,644.92,821.43,855.20
6080.45,605.38,702.07,535.58,703.91,769.56
6107.28,508.42,604.42,423.66,586.38,641.98
6134.11,411.46,491.94,311.74,465.04,514.39
6160.94,324.19,379.46,231.07,343.70,397.75
6187.77,236.92,289.37,150.39,256.06,281.10
6214.60,178.21,199.28,106.89,168.43,204.50
6241.43,119.50,144.91,63.40,120.73,127.90
6268.26,88.22,90.54,45.44,73.02,89.90
6295.09,56.95,64.90,27.48,52.34,51.90
6321.92,43.11,39.26,21.70,31.65,22.31
6348.75,29.26,29.40,15.91,23.98,17.30
6375.58,18.25,19.54,14.13,16.30,12.29
6402.41,15.94,12.81,12.34,13.72,10.50
6429.24,13.63,11.76,10.00,11.13,8.72
6456.07,12.44,10.71,8.84,9.79,8.13
6482.90,11.25,10.43,7.67,9.83,7.55
6509.73,10.47,10.15,6.83,9.87,7.44
6536.56,9.69,9.98,5.99,9.94,7.33
6563.39,8.86,9.81,5.62,10.02,7.09
6590.22,8.02,9.54,5.26,9.83,6.85
6617.05,6.97,9.27,5.13,9.65,6.37
6643.88,5.93,8.86,5.00,9.26,5.90
6670.71,5.02,8.44,4.75,8.88,5.60
6697.54,4.12,7.85,4.49,8.40,5.30
6724.37,3.70,7.26,4.15,7.93,5.24
6751.20,3.27,6.64,3.81,7.31,5.18
6778.03,3.21,6.01,3.85,6.69,4.80
6804.86,3.15,5.54,3.88,6.04,4.42
6831.69,3.18,5.07,4.35,5.40,3.60
6858.52,3.20,4.78,4.81,5.07,2.78
6885.35,3.30,4.50,5.03,4.74,2.22
6912.18,3.40,4.34,5.26,4.78,1.65
6939.01,3.59,4.19,4.71,4.82,1.69
6965.84,3.78,4.08,4.16,4.82,1.73
6992.67,3.77,3.96,3.11,4.82,1.93
7019.50,3.75,3.79,2.07,4.56,2.13
7046.33,3.34,3.61,1.24,4.30,2.35
7073.16,2.92,3.31,0.42,3.94,2.50
7099.99,2.41,3.01,0.26,3.58,2.66
7126.82,1.89,2.72,0.10,3.21,2.67
7153.65,1.63,2.44,0.50,2.83,2.68
7180.48,1.36,2.58,0.90,2.51,2.31
7207.31,1.26,2.73,1.43,2.19,1.95
7234.14,1.35,4.17,1.96,2.22,1.49
7260.97,1.44,4.85,2.21,2.25,1.04
7287.80,1.80,5.54,2.46,2.64,0.86
7314.63,2.15,5.46,2.47,3.03,0.67
7341.46,2.59,5.39,2.47,3.27,0.75
7368.29,3.03,4.66,2.81,3.50,0.83
7395.12,3.07,3.93,3.09,3.43,1.07
7421.95,3.12,3.17,3.38,3.35,1.31
7448.78,2.57,2.42,3.26,3.57,1.67
7475.61,2.03,2.06,3.15,4.00,2.02
7502.44,1.29,1.71,2.75,4.44,2.37
7529.27,0.55,1.75,2.36,4.66,2.72
7556.10,0.27,1.79,2.15,4.88,2.96
7582.93,0.00,1.87,1.94,4.55,3.19
7609.76,0.31,1.95,1.87,4.22,3.33
7636.59,0.62,1.79,1.80,3.66,3.46
7663.42,1.23,1.63,1.70,3.10,3.59
7690.25,1.84,1.45,1.60,2.81,3.71
7717.08,2.17,1.27,1.54,2.53,3.72
7743.91,2.50,1.35,1.48,2.69,3.38
7770.74,2.30,1.44,1.42,2.85,3.05
7797.57,2.11,1.74,1.36,3.00,2.66
7824.40,1.64,2.04,1.28,3.16,2.27
7851.23,1.17,2.38,1.20,2.97,2.36
7878.06,0.82,2.71,1.32,2.78,2.46
7904.90,0.47,2.88,1.44,2.67,3.01
7931.73,0.31,3.04,1.84,2.56,3.57
7958.56,0.16,2.80,2.25,2.91,4.08
7985.39,0.00,2.57,2.50,3.25,4.60
8012.22,0.00,2.05,2.75,3.64,4.65
8039.05,0.00,1.53,2.51,4.03,4.69
8065.88,0.00,0.81,2.28,4.06,4.21
8092.71,0.00,0.63,1.90,4.08,3.73
8119.54,0.00,0.45,1.53,3.79,3.13
8146.37,0.00,0.22,1.57,3.50,2.53
8173.20,0.00,0.00,1.60,2.97,2.19
8200.03,0.00,0.04,1.98,2.44,1.86
8226.86,0.00,0.07,2.36,1.79,1.77
8253.69,0.00,0.54,2.57,1.14,1.69
8280.52,0.00,1.00,2.77,0.70,1.83
8307.35,0.00,1.51,2.31,0.25,1.97
8334.18,0.00,2.02,1.92,0.13,2.20
8361.01,0.00,2.53,1.52,0.00,2.44
8387.84,0.00,3.03,1.42,0.15,2.41
8414.67,0.00,3.67,1.31,0.26,2.30
8441.50,0.25,4.30,1.61,0.37,2.19
8468.33,0.50,4.51,1.91,0.39,2.36
8495.16,0.76,4.72,2.34,0.41,2.52
8521.99,1.01,3.99,2.76,0.45,2.56
8548.82,1.48,3.26,3.05,0.50,2.60
8575.65,1.95,2.25,3.35,0.76,2.12
8602.48,2.28,1.25,3.48,1.02,1.64
8629.31,2.60,1.00,3.62,1.40,1.31
8656.14,2.45,0.76,3.59,1.77,0.98
8682.97,2.29,1.29,3.56,1.99,1.44
8709.80,1.93,1.83,3.38,2.22,1.90
8736.63,1.57,2.40,3.20,2.22,2.54
8763.46,1.39,2.96,3.10,2.23,3.19
8790.29,1.21,3.17,3.00,2.20,3.33
8817.12,1.36,3.38,3.18,2.18,3.48
8843.95,1.73,3.30,3.37,2.30,3.34
8870.78,2.10,3.23,3.60,2.42,3.21
8897.61,2.53,2.44,3.83,2.58,3.10
8924.44,2.97,1.78,3.82,2.73,3.00
8951.27,2.98,1.12,3.80,2.82,2.76
8978.10,2.98,0.73,3.60,2.91,2.52
9004.93,2.57,0.34,3.39,3.03,2.13
9031.76,2.15,0.66,3.12,3.14,1.74
9058.59,1.76,0.98,2.85,3.24,1.61
9085.42,1.37,1.76,2.66,3.34,1.49
9112.25,1.10,2.55,2.47,3.46,2.21
9139.08,0.84,3.31,2.51,3.57,2.59
9165.91,0.69,4.07,2.55,3.87,2.98
9192.74,0.54,4.49,2.63,4.18,3.05
9219.57,0.65,4.91,2.72,4.46,3.12
9246.40,0.76,4.83,2.33,4.75,3.14
9273.23,0.93,4.74,2.06,4.50,3.17
9300.06,1.10,4.24,1.79,4.24,3.32
9326.89,0.97,3.74,1.76,3.35,3.46
9353.72,0.85,3.18,1.72,2.46,3.37
9380.55,0.53,2.62,1.72,0.69,3.27
9407.38,0.22,2.35,1.71,0.55,2.91
9434.21,0.11,2.08,1.40,0.42,2.54
9461.04,0.00,2.12,1.09,0.92,2.34
9487.87,0.19,2.17,0.65,1.41,2.13
9514.70,0.39,2.45,0.20,1.67,2.09
9541.53,0.71,2.74,0.10,1.92,2.05
9568.36,1.04,3.22,0.00,1.66,1.91
9595.19,1.38,3.71,0.40,1.40,1.78
9622.02,1.72,4.11,0.79,1.33,1.61
9648.85,2.58,4.50,1.36,1.26,1.44
9675.68,3.07,4.54,1.93,1.75,1.28
9702.51,3.56,4.57,2.28,2.24,1.12
9729.34,3.74,4.36,2.62,2.66,0.83
9756.17,3.93,4.14,2.52,3.08,0.54
9783.00,3.48,3.37,2.43,2.86,0.00
9809.83,3.03,2.92,2.10,2.65,0.05
9836.67,2.23,2.47,1.77,2.10,0.11
9863.50,1.42,2.35,1.80,1.55,0.48
9890.33,0.86,2.23,1.83,1.19,0.85
9917.16,0.31,2.51,2.45,0.83,1.38
9943.99,0.16,2.78,3.06,0.66,1.91
9970.82,0.02,3.03,3.62,0.49,2.53
9997.65,0.01,3.28,4.19,0.29,3.15
10024.48,0.00,3.24,4.00,0.08,3.73
10051.31,0.04,3.21,3.82,0.04,4.31
10078.14,0.09,3.12,3.17,0.00,4.66
10104.97,0.33,3.04,2.52,0.45,5.00
10131.80,0.57,3.21,2.14,0.90,4.91
10158.63,0.88,3.38,1.76,1.63,4.83
10185.46,1.20,3.62,1.80,2.35,4.50
10212.29,1.52,3.87,1.93,2.75,4.17
10239.12,1.83,3.79,2.05,3.15,4.17
10265.95,2.12,3.71,2.10,3.19,4.16
10292.78,2.40,3.33,2.16,3.22,4.62
10319.61,2.40,2.96,2.13,3.24,5.07
10346.44,2.40,2.63,2.11,3.25,5.43
10373.27,2.11,2.30,2.18,3.27,5.80
10400.10,1.81,2.13,2.26,3.12,5.66
10426.93,1.45,1.96,2.71,2.97,5.53
10453.76,1.48,2.04,3.15,2.70,4.99
10480.59,1.50,2.11,3.80,2.43,4.45
10507.42,1.55,2.45,4.46,2.15,3.18
10534.25,1.59,2.78,4.72,1.87,2.66
10561.08,1.65,3.07,4.97,1.63,2.15
10587.91,1.71,3.35,4.50,1.40,1.88
10614.74,1.85,3.37,4.02,1.26,1.61
10641.57,1.98,3.25,3.23,1.13,1.72
10668.40,2.15,3.13,2.44,1.14,1.82
10695.23,2.31,3.08,2.05,1.16,2.11
10722.06,2.42,3.03,1.67,1.32,2.40
10748.89,2.53,3.03,1.86,1.48,2.58
10775.72,2.51,3.04,2.04,1.63,2.77
10802.55,2.48,3.09,2.33,1.78,2.92
10829.38,2.33,3.14,2.62,1.70,3.08
10856.21,2.18,3.37,2.55,1.63,3.53
10883.04,2.09,3.61,2.49,1.36,3.98
10909.87,2.00,4.00,2.00,1.08,4.60
10936.70,1.99,4.40,1.50,0.75,5.23
10963.53,1.98,4.75,0.90,0.41,5.66
10990.36,1.86,5.10,0.30,0.20,6.09
11017.19,1.75,5.27,0.15,0.00,6.27
11044.02,1.53,5.45,0.00,0.21,6.46
11070.85,1.31,5.36,1.01,0.42,6.47
11097.68,1.12,5.27,1.78,0.97,6.49
11124.51,0.94,4.86,2.55,1.52,6.28
11151.34,0.88,4.44,3.16,1.87,6.07
11178.17,0.83,3.95,3.77,2.22,5.36
11205.00,0.93,3.47,4.17,2.08,5.09
11231.83,1.04,3.38,4.58,1.94,4.83
11258.66,1.61,3.29,4.93,1.78,4.71
11285.49,2.03,3.77,5.29,1.62,4.58
11312.32,2.45,4.25,5.53,2.46,4.55
11339.15,2.79,4.91,5.77,3.37,4.51
11365.98,3.13,5.56,5.49,4.27,4.63
11392.81,3.15,5.73,5.22,4.91,4.75
11419.64,3.17,5.90,4.36,5.54,4.99
11446.47,2.89,4.97,3.51,5.45,5.24
11473.30,2.61,4.48,2.83,5.36,5.42
11500.13,2.24,3.98,2.15,4.84,5.60
11526.96,1.87,3.92,2.30,4.31,5.68
11553.79,1.54,3.85,2.46,3.74,5.76
11580.62,1.21,4.05,3.04,3.17,5.79
11607.45,1.06,4.25,3.62,2.70,5.83
11634.28,0.90,4.57,3.89,2.24,5.67
11661.11,0.99,4.89,4.15,2.17,5.52
11687.94,1.08,5.18,4.04,2.11,4.98
11714.77,1.21,5.48,3.93,2.62,4.44
11741.60,1.33,5.30,3.67,3.13,3.56
11768.43,1.29,5.13,3.41,3.83,2.68
11795.26,1.24,4.53,3.08,4.53,1.74
11822.09,1.08,3.94,2.75,5.02,0.81
11848.92,0.91,3.66,2.63,5.51,0.00
11875.75,0.72,3.38,2.52,5.89,0.68
11902.58,0.53,3.70,2.82,6.27,1.36
11929.42,0.42,4.02,3.13,6.58,2.87
11956.25,0.32,4.35,3.44,6.89,4.38
11983.08,0.40,4.67,3.75,6.87,5.52
12009.91,0.48,4.52,3.79,6.85,6.66
12036.74,0.97,4.37,3.88,6.56,6.83
12063.57,1.22,3.93,3.97,6.26,7.00
12090.40,1.48,3.49,4.29,6.10,6.73
12117.23,1.63,3.11,4.61,5.95,6.45
12144.06,1.79,2.73,4.60,6.02,6.24
12170.89,1.83,2.57,4.59,6.10,6.04
12197.72,1.88,2.42,3.87,6.07,5.98
12224.55,1.88,2.48,3.15,6.04,5.93
12251.38,1.89,2.54,2.24,5.66,5.97
12278.21,1.88,2.48,1.33,5.29,6.02
12305.04,1.87,2.42,1.07,4.15,5.98
12331.87,1.87,1.39,0.81,3.72,5.95
12358.70,1.87,0.74,1.34,3.29,5.73
12385.53,1.97,0.10,1.87,3.04,5.51
12412.36,2.07,0.05,2.63,2.78,5.23
12439.19,2.25,0.00,3.39,2.54,4.96
12466.02,2.44,0.80,3.88,2.29,4.73
12492.85,2.51,1.59,4.37,2.02,4.50
12519.68,2.59,2.68,4.47,1.74,4.37
12546.51,2.38,3.78,4.57,1.55,4.23
12573.34,2.16,4.34,4.41,1.36,4.31
12600.17,1.72,4.90,4.26,1.44,4.44
12627.00,1.29,4.71,4.08,1.52,4.57
12653.83,0.91,4.52,3.91,1.97,4.63
12680.66,0.53,4.13,3.92,2.41,4.68
12707.49,0.35,3.74,3.93,2.86,4.63
12734.32,0.17,3.60,4.08,3.31,4.57
12761.15,0.10,3.45,4.23,3.39,4.60
12787.98,0.04,3.45,4.28,3.47,4.63
12814.81,0.21,3.45,4.33,3.40,4.91
12841.64,0.37,3.43,4.21,3.33,5.18
12868.47,1.26,3.40,4.09,3.32,5.51
12895.30,1.60,3.42,3.88,3.32,5.85
12922.13,1.95,3.45,3.67,3.21,6.00
12948.96,1.96,3.45,3.19,3.09,6.15
12975.79,1.97,3.44,2.97,2.84,6.11
13002.62,1.93,3.33,2.75,2.59,6.08
13029.45,1.88,3.22,2.61,2.36,6.00
13056.28,2.02,3.36,2.47,2.13,5.93
13083.11,2.15,3.49,2.50,1.92,5.97
13109.94,2.27,4.09,2.54,1.72,6.02
13136.77,2.39,4.70,2.69,1.49,6.27
13163.60,2.35,5.79,2.85,1.27,6.52
13190.43,2.31,5.64,2.90,1.13,6.77
13217.26,2.37,5.50,2.95,0.99,7.02
13244.09,2.44,4.85,3.03,1.05,7.08
13270.92,2.80,4.20,3.10,1.12,6.88
13297.75,3.16,3.77,3.63,1.60,6.69
13324.58,3.52,3.33,4.16,1.74,6.39
13351.41,3.87,3.40,5.09,1.89,6.09
13378.24,3.96,3.47,6.02,1.81,5.82
13405.07,4.05,3.71,6.67,1.73,5.56
13431.90,3.96,3.94,7.32,1.68,5.30
13458.73,3.87,4.09,7.24,1.64,5.04
